Name1,Name2,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,
AAR2,,51.47275566,-23.73259399,2.73657718,-8.672364208,4.23E-18,1.32E-14,PNvsLGSOC
AC005237.1,AC005237.4,164.7310073,-8.191306051,1.248687851,-6.559930927,5.38E-11,8.72E-08,PNvsCCOC
AC005410.2,RP11-1096G20.5,193.2426934,14.86255905,2.426640999,6.124745712,9.08E-10,8.28E-07,PNvsMOC
AC005410.2,RP11-1096G20.5,193.2426934,25.14275559,2.632670863,9.550284443,1.29E-21,7.95E-18,PNvsLGSOC
AC005410.2,RP11-1096G20.5,193.2426934,15.93354747,2.253657617,7.070083473,1.55E-12,1.90E-09,PNvsHGSOC
AC005410.2,RP11-1096G20.5,193.2426934,14.57048462,2.452652928,5.940703822,2.84E-09,2.92392E-06,PNvsCCOC
AC006355.2,RP5-1093G23.1,14.98362546,-21.78741342,3.074279839,-7.086997463,1.37E-12,1.83E-09,PNvsLGSOC
AC008655.1,CTB-191K22.5,121.8553733,20.73039438,3.373978575,6.144198584,8.04E-10,7.99E-07,PNvsMOC
AC008655.1,CTB-191K22.5,121.8553733,21.92014787,3.786477438,5.789060738,7.08E-09,5.09025E-06,PNvsLGSOC
AC008655.1,CTB-191K22.5,121.8553733,21.53170651,3.147200477,6.84154272,7.83E-12,8.07E-09,PNvsHGSOC
AC009088.3,RP11-388M20.2,357.7173356,23.02145136,3.267778193,7.044985921,1.85E-12,3.38E-09,PNvsMOC
AC009088.3,RP11-388M20.2,357.7173356,21.66083929,3.66536026,5.909607175,3.43E-09,2.67167E-06,PNvsLGSOC
AC009088.3,RP11-388M20.2,357.7173356,22.7603196,3.04986686,7.462725635,8.48E-14,1.60E-10,PNvsHGSOC
AC009088.3,RP11-388M20.2,357.7173356,23.25400807,3.267781161,7.11614607,1.11E-12,3.14E-09,PNvsCCOC
AC011483.2,CTB-147C22.9,360.3247373,25.11901098,3.761483273,6.677953659,2.42E-11,3.31E-08,PNvsMOC
AC011483.2,CTB-147C22.9,360.3247373,21.69507483,3.50397914,6.191553649,5.96E-10,4.82E-07,PNvsHGSOC
AC020663.2,RP11-127I20.5,66.34163956,20.70113311,3.479445013,5.949550299,2.69E-09,2.2619E-06,PNvsMOC
AC020663.2,RP11-127I20.5,66.34163956,21.02023949,3.244246204,6.47923683,9.22E-11,8.04E-08,PNvsHGSOC
AC020663.2,RP11-127I20.5,66.34163956,-23.22070706,3.672934721,-6.322112651,2.58E-10,3.25E-07,PNvsCCOC
AC022893.1,RP11-531A24.5,10.51599011,-22.37471166,3.027533641,-7.390408933,1.46E-13,5.53E-10,PNvsCCOC
AC034206.1,CTC-321K16.1,213.9955116,23.30570615,3.677989614,6.336533975,2.35E-10,2.86E-07,PNvsMOC
AC034206.1,CTC-321K16.1,213.9955116,22.28638968,3.426993596,6.503189766,7.86E-11,7.43E-08,PNvsHGSOC
AC034206.1,CTC-321K16.1,213.9955116,21.5137636,3.678247349,5.84891704,4.95E-09,4.00527E-06,PNvsCCOC
AC091948.1,RP11-373N22.3,157.2122162,20.17796196,3.486503138,5.787449822,7.15E-09,5.2533E-06,PNvsMOC
AC091948.1,RP11-373N22.3,157.2122162,23.63962958,3.250068912,7.273577951,3.50E-13,5.67E-10,PNvsHGSOC
AC111194.2,RP11-530I17.1,106.1348644,-8.690704556,1.50483011,-5.775206448,7.69E-09,5.2533E-06,PNvsMOC
AC113383.1,CTD-2269F5.1,67.40167689,-6.76223942,1.115990919,-6.059403626,1.37E-09,9.68E-07,PNvsHGSOC
AC118754.1,AC1187544,15.66546138,19.95468921,2.63306281,7.578508621,3.50E-14,1.45E-10,PNvsMOC
AC118754.1,AC1187544,15.66546138,17.73024948,2.944410413,6.02166376,1.73E-09,1.46723E-06,PNvsLGSOC
AC118754.1,AC1187544,15.66546138,17.461614,2.473579302,7.059249722,1.67E-12,1.90E-09,PNvsHGSOC
AC118754.1,AC1187544,15.66546138,18.20666742,2.636917894,6.904525719,5.04E-12,1.14E-08,PNvsCCOC
AC243967.2,AC011513.4,75.86799181,22.97277647,3.067942781,7.488006821,6.99E-14,1.91E-10,PNvsMOC
ACSM1,,6.691895014,16.83343169,2.624684435,6.413506885,1.42E-10,1.66E-07,PNvsLGSOC
ACSM1,,6.691895014,16.66853222,2.217852177,7.515619115,5.66E-14,1.28E-10,PNvsHGSOC
ACSM1,,6.691895014,19.06889465,2.347200642,8.124100815,4.51E-16,2.55E-12,PNvsCCOC
AP000757.1,RP11-728F11.4,83.43615208,21.88591614,3.048266585,7.179790721,6.98E-13,1.53E-09,PNvsMOC
AP000757.1,RP11-728F11.4,83.43615208,21.4699325,2.84845354,7.537399574,4.79E-14,1.28E-10,PNvsHGSOC
AP000757.1,RP11-728F11.4,83.43615208,17.39305554,3.055332931,5.692687487,1.25E-08,8.33677E-06,PNvsCCOC
COL6A4P1,,40.34422628,18.99759064,3.328928142,5.70681908,1.15E-08,7.24727E-06,PNvsHGSOC
DLX6-AS1,,57.68265324,18.92283476,2.372598688,7.975573304,1.52E-15,1.66E-11,PNvsMOC
DLX6-AS1,,57.68265324,21.3475162,2.632148046,8.110302241,5.05E-16,1.18E-12,PNvsLGSOC
DLX6-AS1,,57.68265324,21.10878548,2.228227508,9.473352879,2.71E-21,1.54E-17,PNvsHGSOC
DLX6-AS1,,57.68265324,19.61440884,2.371896563,8.269504304,1.35E-16,1.52E-12,PNvsCCOC
FP236383.1,CH507-528H12.1,95.49045988,-28.1789176,3.935199881,-7.160733495,8.02E-13,1.29E-09,PNvsLGSOC
HLA-DQB1-AS1,,26.47027709,20.29219842,2.683479584,7.561897823,3.97E-14,1.45E-10,PNvsMOC
HLA-DQB1-AS1,,26.47027709,18.17990032,2.999834346,6.06030141,1.36E-09,1.27022E-06,PNvsLGSOC
HLA-DQB1-AS1,,26.47027709,18.24236325,2.517050174,7.247516732,4.24E-13,6.01E-10,PNvsHGSOC
HLA-DQB1-AS1,,26.47027709,16.19289665,2.7024882,5.99184731,2.07E-09,2.35127E-06,PNvsCCOC
HSD11B1,,8.715515303,-19.81160015,2.768460616,-7.156179152,8.30E-13,1.29E-09,PNvsLGSOC
IGFBP4,,26.70490715,-9.832910108,1.717168077,-5.726236261,1.03E-08,7.75806E-06,PNvsCCOC
LINC00486,,485.059646,-13.66247734,2.365431521,-5.775892146,7.65E-09,5.2533E-06,PNvsMOC
LINC01764,,3023.955659,13.96694977,2.236713895,6.244406044,4.25E-10,4.65E-07,PNvsMOC
LINC01764,,3023.955659,12.37389198,2.098420124,5.896765781,3.71E-09,2.47123E-06,PNvsHGSOC
LINC01764,,3023.955659,13.18907029,2.236723811,5.896602087,3.71E-09,3.50438E-06,PNvsCCOC
NXPE1,,320.7529181,-27.62195461,2.900910745,-9.521821608,1.70E-21,7.95E-18,PNvsLGSOC
PCSK7,,5759.874398,-8.59098125,1.319674583,-6.509924009,7.52E-11,1.07E-07,PNvsCCOC
SCGB3A2,,31.98929169,-24.19935548,2.117830869,-11.42648161,3.08E-30,3.49E-26,PNvsHGSOC
TEX26-AS1,,116.5297614,-10.9932479,1.876290745,-5.859032201,4.66E-09,4.00527E-06,PNvsCCOC
TRPM2,,27.18942596,18.73991948,2.776589501,6.749258209,1.49E-11,2.32E-08,PNvsMOC
TRPM2,,27.18942596,19.67651591,3.100158849,6.346937971,2.20E-10,2.28E-07,PNvsLGSOC
TRPM2,,27.18942596,19.60762985,2.598282155,7.546382065,4.48E-14,1.28E-10,PNvsHGSOC
TRPM2,,27.18942596,18.43558077,2.777925853,6.636455306,3.21E-11,6.07E-08,PNvsCCOC
TSIX,,1502.495174,-11.42510199,2.018235847,-5.660935021,1.51E-08,8.97994E-06,PNvsHGSOC
ZNF577,,65.50362734,-9.306571232,1.5171748,-6.134145672,8.56E-10,6.47E-07,PNvsHGSOC
ZNF577,,65.50362734,-10.32295534,1.80888166,-5.706816302,1.15E-08,8.15331E-06,PNvsCCOC
ZRANB2-AS2,,256.8719433,-9.454584206,1.65117394,-5.725977122,1.03E-08,6.61564E-06,PNvsMOC
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
